id,pop,state,lat,lon,state,city
01366,1131,MA,-72.189349,42.489761,MA,PETERSHAM
01367,630,MA,-72.925776,42.695289,MA,ROWE
01370,4525,MA,-72.739059,42.602203,MA,SHELBURNE FALLS
01373,5118,MA,-72.615268,42.475616,MA,SOUTH DEERFIELD
01375,3399,MA,-72.567569,42.453947,MA,SUNDERLAND
01376,7100,MA,-72.54701,42.606521,MA,TURNERS FALLS
01379,393,MA,-72.400851,42.565644,MA,WENDELL
01420,41194,MA,-71.803133,42.579563,MA,FITCHBURG
01430,5433,MA,-71.92666,42.649614,MA,ASHBURNHAM
01431,2649,MA,-71.817369,42.674462,MA,ASHBY
01432,6871,MA,-71.578763,42.55914,MA,AYER
01433,8480,MA,-71.621819,42.532416,MA,FT DEVENS
01436,4386,MA,-72.064647,42.593568,MA,BALDWINVILLE
01440,20125,MA,-71.9898,42.57405,MA,GARDNER
01450,7504,MA,-71.558371,42.612351,MA,GROTON
01451,4445,MA,-71.575293,42.498565,MA,HARVARD
01452,2797,MA,-72.001159,42.486538,MA,HUBBARDSTON
01453,38145,MA,-71.756308,42.52744,MA,LEOMINSTER
01460,7066,MA,-71.487667,42.540132,MA,LITTLETON
01462,9117,MA,-71.726642,42.58843,MA,LUNENBURG
01463,10178,MA,-71.593392,42.668888,MA,PEPPERELL
01464,6118,MA,-71.646444,42.558653,MA,SHIRLEY CENTER
01468,2058,MA,-72.064971,42.545976,MA,TEMPLETON
01469,6112,MA,-71.689646,42.652511,MA,TOWNSEND
01473,6191,MA,-71.909599,42.548319,MA,WESTMINSTER
01474,2452,MA,-71.74057,42.670404,MA,W TOWNSEND
01475,8805,MA,-72.047524,42.678943,MA,WINCHENDON
01501,15007,MA,-71.839144,42.205502,MA,AUBURN
01503,2293,MA,-71.635634,42.384438,MA,BERLIN
01504,8023,MA,-71.52691,42.028708,MA,BLACKSTONE
01505,3517,MA,-71.731042,42.337727,MA,BOYLSTON
01506,2968,MA,-72.098887,42.199141,MA,BROOKFIELD
01507,9576,MA,-71.966384,42.137902,MA,CHARLTON
01510,13269,MA,-71.682847,42.418147,MA,CLINTON
01515,2033,MA,-72.048078,42.219308,MA,EAST BROOKFIELD
01516,5594,MA,-71.726611,42.060566,MA,EAST DOUGLAS
01518,774,MA,-72.117764,42.122762,MA,FISKDALE
01519,4910,MA,-71.686848,42.200371,MA,GRAFTON
01520,12051,MA,-71.84142,42.341983,MA,HOLDEN
01521,747,MA,-72.154373,42.040264,MA,HOLLAND
01522,2478,MA,-71.87058,42.375519,MA,JEFFERSON
01523,6018,MA,-71.686831,42.450984,MA,LANCASTER
01524,6527,MA,-71.918829,42.237047,MA,LEICESTER
01527,12228,MA,-71.764438,42.196779,MA,MILLBURY
01529,2236,MA,-71.579813,42.033102,MA,MILLVILLE
01531,881,MA,-72.130642,42.31977,MA,NEW BRAINTREE
01532,11930,MA,-71.646372,42.318242,MA,NORTHBOROUGH
01534,4564,MA,-71.656366,42.1494,MA,NORTHBRIDGE
01535,4755,MA,-72.082129,42.266455,MA,NORTH BROOKFIELD
01536,5401,MA,-71.703691,42.229726,MA,NORTH GRAFTON
01537,3031,MA,-71.885953,42.16549,MA,NORTH OXFORD
01540,9557,MA,-71.868677,42.11285,MA,OXFORD
01541,3189,MA,-71.876245,42.450812,MA,PRINCETON
01542,1154,MA,-71.906882,42.199685,MA,ROCHDALE
01543,4936,MA,-71.948951,42.376199,MA,RUTLAND
01545,24146,MA,-71.720503,42.284801,MA,SHREWSBURY
01550,17816,MA,-72.035347,42.075024,MA,SOUTHBRIDGE
01560,2719,MA,-71.692725,42.176042,MA,SOUTH GRAFTON
01562,11598,MA,-71.990617,42.244103,MA,SPENCER
01564,6481,MA,-71.775192,42.435351,MA,STERLING
01566,7001,MA,-72.084233,42.112619,MA,STURBRIDGE
01568,4682,MA,-71.608014,42.173275,MA,WEST UPTON
01569,10364,MA,-71.632869,42.074426,MA,UXBRIDGE
01570,3735,MA,-71.839467,42.047574,MA,DUDLEY HILL
01571,22001,MA,-71.893228,42.048894,MA,DUDLEY
01581,14132,MA,-71.617604,42.267891,MA,WESTBOROUGH
01583,6611,MA,-71.783822,42.35836,MA,WEST BOYLSTON
01585,3528,MA,-72.151137,42.244137,MA,WEST BROOKFIELD
01588,8807,MA,-71.664357,42.115319,MA,WHITINSVILLE
01590,6719,MA,-71.748416,42.140586,MA,WILKINSONVILLE
01602,19988,MA,-71.841678,42.270251,MA,WORCESTER
01603,18605,MA,-71.837995,42.245033,MA,WORCESTER
01604,29036,MA,-71.774626,42.254084,MA,WORCESTER
01605,25695,MA,-71.788795,42.289391,MA,WORCESTER
01606,18213,MA,-71.795774,42.311029,MA,WORCESTER
01607,9048,MA,-71.793837,42.230294,MA,WORCESTER
01608,3646,MA,-71.800262,42.262425,MA,WORCESTER
01609,21905,MA,-71.817456,42.275387,MA,WORCESTER
01610,23720,MA,-71.810798,42.249186,MA,WORCESTER
01611,2510,MA,-71.874971,42.237287,MA,CHERRY VALLEY
01612,4047,MA,-71.920234,42.306646,MA,PAXTON
01701,65046,MA,-71.425486,42.300665,MA,FRAMINGHAM
01718,2330,MA,-71.422354,42.514941,MA,VILLAGE OF NAGOG
01719,3343,MA,-71.518229,42.486876,MA,BOXBORO
01720,15514,MA,-71.448255,42.475076,MA,ACTON
01721,12066,MA,-71.458347,42.253909,MA,ASHLAND
01730,16147,MA,-71.276796,42.484287,MA,BEDFORD
01740,3134,MA,-71.607593,42.436523,MA,BOLTON
01741,4333,MA,-71.351892,42.528562,MA,CARLISLE
01742,17076,MA,-71.374741,42.456701,MA,CONCORD
01745,506,MA,-71.502256,42.293221,MA,SOUTHBOROUGH
01746,12917,MA,-71.436059,42.202641,MA,HOLLISTON
01747,5649,MA,-71.537601,42.126796,MA,HOPEDALE
01748,9191,MA,-71.530178,42.219046,MA,HOPKINTON
01749,17233,MA,-71.560896,42.391796,MA,HUDSON
01752,31813,MA,-71.543355,42.350861,MA,MARLBOROUGH
